hour,plug,value
319,1,56201.04399999989
319,2,17657.983999999848
319,5,4720.75099999996
319,6,3688.1100000000033
319,7,33572.57699999999
319,9,1796.6669999999967
319,11,30604.59700000006
320,1,12443.67
320,2,17743.066999999864
320,5,4788.054999999951
320,6,3711.475000000004
320,7,34250.81399999992
320,9,1777.1309999999983
320,11,31503.728000000014
321,1,93243.47199999992
321,2,62413.81399999995
321,5,65004.79600000001
321,6,50603.92799999997
321,7,32727.398999999972
321,9,1735.1369999999968
321,11,29978.68000000001
322,1,17444.93800000001
322,2,68799.22699999987
322,5,247412.62499999985
322,6,192209.37499999953
322,7,33752.432000000015
322,9,1738.0049999999983
322,11,30901.803000000065
323,1,56159.03799999984
323,2,55236.2699999998
323,5,220718.04600000082
323,6,171716.41199999957
323,7,33832.41499999996
323,9,1778.238999999998
323,11,31009.504000000026
324,1,72359.70799999974
324,2,22668.82299999973
324,5,230650.46600000054
324,6,179505.633
324,7,33662.85200000004
324,9,1745.7799999999966
324,11,30979.999000000076
325,2,17634.271999999844
325,5,241758.31000000084
325,6,188206.84399999987
325,7,34569.26099999998
325,9,1819.6859999999983
325,11,31660.359000000055
326,1,89976.24299999948
326,2,17606.841999999844
326,5,85409.39200000021
326,6,66361.76899999994
326,7,33095.229
326,9,1764.3549999999964
326,11,30252.39200000004
327,1,39796.778999999966
327,2,17519.54199999987
327,5,6723.566000000008
327,6,5221.098000000007
327,7,33973.15699999999
327,9,1683.2819999999972
327,11,31289.177
328,1,32577.774999999983
328,2,17385.94899999985
328,5,6755.902000000006
328,6,5231.552999999995
328,7,33809.05799999992
328,9,1683.3919999999966
328,11,30932.57000000001
329,1,88849.10799999979
329,2,17308.364999999863
329,5,6809.561000000001
329,6,5289.021000000002
329,7,33276.14899999994
329,9,1671.077000000001
329,11,30323.107000000015
330,1,12593.999999999995
330,2,17357.142999999825
330,5,6823.31000000001
330,6,5305.759000000005
330,7,33894.075999999965
330,9,1744.6029999999982
330,11,31072.864999999976
331,1,63280.530999999835
331,2,17311.949999999826
331,5,6744.717000000022
331,6,5243.908999999993
331,7,33433.45400000006
331,9,1790.4339999999986
331,11,30617.178999999975
332,1,72279.60799999996
332,2,17171.963999999887
332,5,6814.288000000022
332,6,5312.593000000008
332,7,32833.703999999976
332,9,1732.2419999999997
332,11,30003.724000000002
333,2,17206.68699999985
333,5,6780.833000000001
333,6,5260.37500000001
333,7,33539.70599999989
333,9,1763.4009999999964
333,11,30887.038999999997
334,1,92745.9579999999
334,2,17318.339999999833
334,5,6788.07600000001
334,6,5249.731000000007
334,7,32533.127999999935
334,9,1672.1400000000003
334,11,29861.924999999977
335,1,44475.01999999986
335,2,17236.381999999878
335,5,6701.179000000016
335,6,5198.055000000003
335,7,33239.67699999999
335,9,1697.780999999997
335,11,30450.475999999955
336,1,28951.359999999928
336,2,17390.68099999984
336,5,6843.264000000005
336,6,5321.967999999999
336,7,34130.425999999956
336,9,1734.0749999999973
336,11,31077.54400000002
337,1,89799.69799999987
337,2,17383.261999999813
337,5,6754.225999999999
337,6,5257.069000000007
337,7,33488.17099999996
337,9,1780.0369999999998
337,11,30728.519999999975
338,1,18183.23200000001
338,2,33952.66600000002
338,5,6726.607000000007
338,6,5247.569999999994
338,7,34224.285
338,9,1651.4069999999977
338,11,31453.881000000078
339,1,55144.97299999981
339,2,16928.99499999986
339,5,6621.557000000004
339,6,5132.880000000011
339,7,33372.416000000034
339,9,1687.672999999999
339,11,30686.921000000064
340,1,73086.48200000002
340,2,16941.20699999983
340,5,6590.852000000009
340,6,5097.2269999999935
340,7,32613.720999999987
340,9,1704.5169999999996
340,11,29991.291000000085
